Age,Gender,Income,Education,Employment,Online_Shop_Frequency,Avg_Spend_Per_Order,Frequent_Categories,Device_Used,Main_Purchase_Factor,Try_New_Platform,Pay_Faster_Delivery,Become_Regular_If_Personalized,Max_Loyalty_Program_Pay,Abandon_Cart_If_Slow,Allow_Data_Use_For_Rec,Checkout_Problem,Attn_Personalized_Recs,Price_Sensitivity,Switch_For_Discount,Shopping_Challenges,Desired_Features,Satisfaction_1_10,Preferred_Shop_Time,Would_Recommend
55+,Male,$5000-$9999,Bachelor’s,Employed,1-2 times,$100-$199,"Groceries,Fashion",Desktop/Laptop,Product Range,Likely,No,Very Unlikely,$5-9,Yes,Yes,Changed Mind,Sometimes,Very Sensitive,Neutral,Product Quality,One-Click Checkout,6,Evening,Yes
25-34,Female,$5000-$9999,Bachelor’s,Employed,6-10 times,$20-$49,"Home & Kitchen,Fashion",Desktop/Laptop,Delivery Speed,Likely,No,Unlikely,$5-9,Yes,No,Security Concerns,Never,Very Sensitive,Unlikely,Delivery Delays,"Flexible Returns,AR Product Previews,Better Loyalty Rewards",9,Afternoon,Yes
18-24,Female,$5000-$9999,Master’s,Employed,3-5 times,$200+,Health & Beauty,Desktop/Laptop,Price,Unlikely,Yes,Neutral,<$5,No,Yes,Slow Delivery,Rarely,Very Sensitive,Likely,"Delivery Delays,Other","Flexible Returns,One-Click Checkout",1,Evening,Maybe
45-54,Male,$3000-$4999,Other,Employed,6-10 times,$50-$99,"Fashion,Home & Kitchen",Mobile,Delivery Speed,Unlikely,Yes,Neutral,None,Sometimes,No,Changed Mind,Often,Very Sensitive,Very Unlikely,"Product Quality,Payment Issues","Flexible Returns,Other",7,Night,No
35-44,Male,$1000-$2999,Master’s,Unemployed,6-10 times,$100-$199,"Electronics,Home & Kitchen,Other",Mobile,Brand,Neutral,Yes,Likely,<$5,Yes,No,Changed Mind,Sometimes,Somewhat Sensitive,Unlikely,"Delivery Delays,Product Quality","Live Chat Support,One-Click Checkout,Flexible Returns",2,Evening,Yes
18-24,Male,$1000-$2999,High School,Employed,6-10 times,$50-$99,"Fashion,Books,Home & Kitchen",Desktop/Laptop,Brand,Neutral,No,Very Likely,<$5,Yes,Yes,Complicated Checkout,Rarely,Neutral,Very Likely,"Poor Customer Service,Product Quality","AR Product Previews,Other,Live Chat Support",4,Afternoon,Yes
35-44,Male,$3000-$4999,Master’s,Employed,3-5 times,$100-$199,Groceries,Mobile,Reviews,Unlikely,No,Very Likely,$5-9,No,Yes,Other,Rarely,Somewhat Sensitive,Neutral,"Other,Lack of Variety,Payment Issues","Better Loyalty Rewards,One-Click Checkout,Live Chat Support",10,Afternoon,Maybe
25-34,Male,$1000-$2999,Master’s,Employed,1-2 times,$50-$99,Electronics,Desktop/Laptop,Reviews,Likely,Yes,Neutral,$10-19,Yes,No,Complicated Checkout,Rarely,Very Sensitive,Unlikely,"Delivery Delays,Product Quality","Live Chat Support,Better Loyalty Rewards",10,Evening,Maybe
45-54,Female,<$1000,Master’s,Employed,10+ times,$50-$99,"Home & Kitchen,Other,Electronics",Mobile,Discounts,Very Likely,No,Neutral,None,No,No,Other,Rarely,Very Sensitive,Likely,"Payment Issues,Poor Customer Service","One-Click Checkout,Live Chat Support",7,Afternoon,Yes
45-54,Male,$3000-$4999,Master’s,Employed,10+ times,$50-$99,"Electronics,Fashion,Other",Mobile,Discounts,Likely,Yes,Very Unlikely,<$5,Sometimes,Maybe,Slow Delivery,Never,Somewhat Sensitive,Likely,"Delivery Delays,Product Quality,Payment Issues","One-Click Checkout,AR Product Previews",6,Morning,No
25-34,Female,$5000-$9999,Master’s,Employed,3-5 times,$100-$199,"Home & Kitchen,Fashion,Groceries",Desktop/Laptop,Reviews,Likely,No,Very Likely,<$5,No,Yes,Slow Delivery,Sometimes,Not at All Sensitive,Very Likely,"Product Quality,Delivery Delays","Better Loyalty Rewards,AR Product Previews",7,Morning,Yes
35-44,Female,$1000-$2999,Bachelor’s,Employed,3-5 times,$100-$199,Fashion,Desktop/Laptop,Brand,Neutral,No,Likely,$10-19,No,Yes,Complicated Checkout,Always,Very Sensitive,Unlikely,"Delivery Delays,Product Quality",Live Chat Support,9,Morning,Yes
25-34,Male,$1000-$2999,Master’s,Employed,3-5 times,$100-$199,"Fashion,Books",Mobile,Price,Very Unlikely,Yes,Neutral,$5-9,Yes,No,Security Concerns,Often,Somewhat Sensitive,Likely,"Product Quality,Lack of Variety,Payment Issues","Live Chat Support,Better Loyalty Rewards",7,Evening,No
25-34,Male,"$10,000+",Master’s,Employed,3-5 times,$50-$99,"Groceries,Fashion",Mobile,Reviews,Neutral,Yes,Likely,None,Yes,No,Security Concerns,Sometimes,Somewhat Sensitive,Likely,"Payment Issues,Product Quality",Better Loyalty Rewards,9,Evening,No
25-34,Male,$3000-$4999,Bachelor’s,Employed,10+ times,$50-$99,"Groceries,Books,Other",Mobile,Brand,Unlikely,No,Likely,<$5,Yes,Yes,Slow Delivery,Sometimes,Somewhat Sensitive,Likely,"Product Quality,Payment Issues,Delivery Delays",Live Chat Support,6,Evening,No
25-34,Female,$1000-$2999,Bachelor’s,Employed,10+ times,$50-$99,Home & Kitchen,Mobile,Price,Likely,No,Neutral,None,Sometimes,No,High Shipping Costs,Sometimes,Somewhat Sensitive,Very Unlikely,"Lack of Variety,Poor Customer Service,Product Quality","Flexible Returns,One-Click Checkout,Other",8,Morning,No
35-44,Male,$5000-$9999,Bachelor’s,Student,3-5 times,$50-$99,Groceries,Desktop/Laptop,Brand,Unlikely,No,Unlikely,$10-19,Yes,Yes,Security Concerns,Always,Somewhat Sensitive,Very Likely,Payment Issues,"One-Click Checkout,Other",9,Afternoon,No
55+,Male,$1000-$2999,Bachelor’s,Employed,1-2 times,$100-$199,"Electronics,Fashion,Health & Beauty",Mobile,Price,Likely,Yes,Very Likely,<$5,Sometimes,No,High Shipping Costs,Often,Very Sensitive,Unlikely,Delivery Delays,"Better Loyalty Rewards,Live Chat Support",8,Evening,Yes
55+,Female,$5000-$9999,Master’s,Employed,1-2 times,$100-$199,"Home & Kitchen,Groceries",Mobile,Brand,Neutral,Yes,Unlikely,<$5,No,Yes,Other,Rarely,Neutral,Unlikely,"Product Quality,Poor Customer Service","AR Product Previews,Better Loyalty Rewards",6,Morning,No
18-24,Male,$5000-$9999,Bachelor’s,Employed,10+ times,$20-$49,"Fashion,Groceries",Desktop/Laptop,Discounts,Very Likely,Yes,Neutral,None,Yes,Yes,Other,Often,Very Sensitive,Unlikely,Delivery Delays,Better Loyalty Rewards,7,Morning,Yes
35-44,Male,<$1000,Doctorate,Employed,3-5 times,$100-$199,"Health & Beauty,Books,Groceries",Desktop/Laptop,Price,Neutral,No,Very Likely,$5-9,Yes,No,Complicated Checkout,Sometimes,Not at All Sensitive,Neutral,"Delivery Delays,Product Quality,Lack of Variety","Flexible Returns,Live Chat Support,Better Loyalty Rewards",5,Evening,No
35-44,Female,$5000-$9999,Other,Employed,6-10 times,$20-$49,"Books,Groceries",Mobile,Discounts,Neutral,No,Likely,<$5,Sometimes,No,Changed Mind,Rarely,Not Very Sensitive,Very Unlikely,Delivery Delays,Flexible Returns,7,Evening,No
25-34,Male,$5000-$9999,Bachelor’s,Self-employed,1-2 times,$100-$199,Health & Beauty,Mobile,Discounts,Very Unlikely,Yes,Unlikely,$20+,No,Yes,Other,Rarely,Not Very Sensitive,Unlikely,"Payment Issues,Lack of Variety,Other","AR Product Previews,Flexible Returns,One-Click Checkout",4,Morning,Yes
45-54,Female,$1000-$2999,Bachelor’s,Student,10+ times,$50-$99,"Electronics,Home & Kitchen",Mobile,Brand,Unlikely,Yes,Unlikely,None,Sometimes,Yes,Changed Mind,Sometimes,Very Sensitive,Very Likely,"Product Quality,Other","Live Chat Support,One-Click Checkout",10,Night,Yes
35-44,Female,$1000-$2999,Bachelor’s,Unemployed,3-5 times,$50-$99,"Health & Beauty,Home & Kitchen,Fashion",Desktop/Laptop,Product Range,Unlikely,Yes,Very Likely,$5-9,No,No,Changed Mind,Rarely,Not Very Sensitive,Neutral,Lack of Variety,Better Loyalty Rewards,3,Morning,Yes
35-44,Female,$3000-$4999,High School,Employed,6-10 times,$50-$99,"Home & Kitchen,Other",Desktop/Laptop,Brand,Neutral,Yes,Very Unlikely,<$5,Yes,No,Other,Never,Very Sensitive,Likely,"Payment Issues,Product Quality",Other,10,Night,Yes
45-54,Female,$3000-$4999,Bachelor’s,Employed,10+ times,$50-$99,Health & Beauty,Other,Brand,Unlikely,No,Very Likely,None,No,Yes,Changed Mind,Never,Somewhat Sensitive,Neutral,"Other,Payment Issues","Better Loyalty Rewards,AR Product Previews,Other",5,Evening,Maybe
35-44,Female,"$10,000+",Bachelor’s,Unemployed,10+ times,$100-$199,"Home & Kitchen,Fashion",Desktop/Laptop,Price,Likely,Maybe,Very Unlikely,None,Yes,No,Slow Delivery,Often,Somewhat Sensitive,Likely,"Lack of Variety,Other","Other,AR Product Previews",4,Evening,Yes
25-34,Male,$5000-$9999,Bachelor’s,Unemployed,10+ times,<$20,Other,Mobile,Reviews,Likely,Yes,Unlikely,$10-19,No,Yes,Complicated Checkout,Never,Somewhat Sensitive,Very Likely,"Product Quality,Lack of Variety,Delivery Delays","Better Loyalty Rewards,Live Chat Support,One-Click Checkout",9,Evening,Yes
55+,Female,$3000-$4999,Bachelor’s,Unemployed,3-5 times,$50-$99,Health & Beauty,Desktop/Laptop,Reviews,Unlikely,Yes,Very Unlikely,<$5,Yes,No,Slow Delivery,Rarely,Somewhat Sensitive,Likely,"Delivery Delays,Other,Product Quality","AR Product Previews,Better Loyalty Rewards,One-Click Checkout",6,Morning,No
55+,Female,$3000-$4999,Master’s,Self-employed,3-5 times,<$20,"Books,Home & Kitchen,Other",Mobile,Price,Unlikely,No,Neutral,None,Yes,No,High Shipping Costs,Always,Not Very Sensitive,Neutral,"Poor Customer Service,Product Quality",One-Click Checkout,7,Afternoon,No
45-54,Female,"$10,000+",Bachelor’s,Unemployed,3-5 times,$20-$49,"Fashion,Electronics,Books",Mobile,Product Range,Likely,Yes,Neutral,<$5,Sometimes,Yes,Slow Delivery,Never,Neutral,Neutral,Lack of Variety,"Live Chat Support,Flexible Returns,AR Product Previews",9,Evening,No
25-34,Male,$3000-$4999,Doctorate,Employed,3-5 times,$20-$49,"Books,Electronics,Home & Kitchen",Mobile,Delivery Speed,Likely,Yes,Unlikely,<$5,Sometimes,Yes,Slow Delivery,Sometimes,Not Very Sensitive,Neutral,"Poor Customer Service,Lack of Variety","One-Click Checkout,Better Loyalty Rewards,AR Product Previews",6,Afternoon,No
25-34,Male,$3000-$4999,Bachelor’s,Unemployed,6-10 times,$50-$99,"Groceries,Electronics,Health & Beauty",Mobile,Reviews,Unlikely,Maybe,Very Likely,None,Sometimes,Yes,Security Concerns,Often,Very Sensitive,Very Unlikely,"Product Quality,Payment Issues","One-Click Checkout,Flexible Returns",10,Morning,No
25-34,Male,$3000-$4999,Doctorate,Self-employed,1-2 times,$100-$199,"Other,Fashion",Mobile,Brand,Unlikely,Yes,Likely,<$5,No,No,Complicated Checkout,Rarely,Very Sensitive,Very Likely,"Other,Product Quality","AR Product Previews,One-Click Checkout",7,Night,Yes
25-34,Male,$1000-$2999,Master’s,Student,3-5 times,$20-$49,"Home & Kitchen,Health & Beauty,Electronics",Tablet,Delivery Speed,Neutral,Yes,Very Likely,$5-9,Sometimes,Yes,Slow Delivery,Rarely,Somewhat Sensitive,Likely,"Product Quality,Poor Customer Service,Other","Better Loyalty Rewards,Other,Live Chat Support",8,Evening,No
25-34,Female,$5000-$9999,Bachelor’s,Unemployed,1-2 times,$50-$99,"Fashion,Home & Kitchen",Mobile,Brand,Neutral,No,Likely,<$5,Yes,No,Changed Mind,Often,Very Sensitive,Neutral,"Poor Customer Service,Delivery Delays,Product Quality","AR Product Previews,Better Loyalty Rewards",7,Afternoon,Yes
35-44,Male,$3000-$4999,High School,Retired,1-2 times,$20-$49,"Fashion,Groceries",Mobile,Price,Unlikely,Yes,Neutral,$5-9,No,No,Slow Delivery,Sometimes,Not Very Sensitive,Unlikely,"Payment Issues,Poor Customer Service,Product Quality","Flexible Returns,One-Click Checkout",4,Night,Yes
18-24,Female,$5000-$9999,Other,Employed,1-2 times,$50-$99,"Other,Groceries",Mobile,Product Range,Very Unlikely,Yes,Likely,$10-19,Yes,Yes,Complicated Checkout,Sometimes,Very Sensitive,Very Likely,"Product Quality,Other",Other,4,Night,No
45-54,Male,$3000-$4999,Doctorate,Employed,3-5 times,$20-$49,"Home & Kitchen,Fashion,Groceries",Mobile,Delivery Speed,Very Unlikely,Yes,Very Unlikely,$5-9,Sometimes,Yes,Other,Always,Somewhat Sensitive,Likely,"Delivery Delays,Lack of Variety,Poor Customer Service",Better Loyalty Rewards,7,Morning,No
25-34,Female,$3000-$4999,Master’s,Student,1-2 times,$20-$49,"Groceries,Home & Kitchen",Mobile,Product Range,Neutral,Yes,Likely,None,No,Yes,Security Concerns,Sometimes,Somewhat Sensitive,Likely,Poor Customer Service,"Better Loyalty Rewards,Other",7,Evening,No
45-54,Male,$5000-$9999,High School,Employed,6-10 times,$20-$49,"Fashion,Home & Kitchen,Groceries",Mobile,Brand,Likely,Maybe,Very Likely,$10-19,Yes,Maybe,Security Concerns,Sometimes,Neutral,Very Unlikely,"Product Quality,Delivery Delays,Poor Customer Service","Better Loyalty Rewards,Flexible Returns",5,Evening,Yes
18-24,Male,"$10,000+",Bachelor’s,Employed,3-5 times,$100-$199,Groceries,Desktop/Laptop,Product Range,Very Unlikely,Yes,Very Likely,<$5,Sometimes,Yes,Complicated Checkout,Sometimes,Neutral,Neutral,Product Quality,Flexible Returns,10,Morning,Yes
25-34,Female,$3000-$4999,Bachelor’s,Self-employed,6-10 times,$100-$199,"Health & Beauty,Groceries,Fashion",Mobile,Price,Likely,No,Unlikely,<$5,Sometimes,No,Changed Mind,Sometimes,Neutral,Neutral,"Lack of Variety,Delivery Delays,Payment Issues",One-Click Checkout,5,Morning,Yes
18-24,Male,$3000-$4999,Bachelor’s,Employed,3-5 times,$50-$99,Books,Mobile,Price,Neutral,No,Likely,$20+,No,Maybe,High Shipping Costs,Sometimes,Not Very Sensitive,Neutral,"Other,Product Quality,Poor Customer Service","Live Chat Support,Better Loyalty Rewards",6,Evening,Yes
35-44,Female,$1000-$2999,Bachelor’s,Employed,3-5 times,<$20,"Other,Electronics",Mobile,Price,Likely,Yes,Likely,<$5,Yes,No,Complicated Checkout,Sometimes,Not Very Sensitive,Very Unlikely,"Payment Issues,Delivery Delays","One-Click Checkout,Live Chat Support,AR Product Previews",5,Evening,No
45-54,Female,$3000-$4999,Master’s,Student,6-10 times,$100-$199,Home & Kitchen,Mobile,Discounts,Likely,Yes,Likely,$10-19,Sometimes,No,Slow Delivery,Often,Somewhat Sensitive,Likely,"Delivery Delays,Other,Poor Customer Service","Better Loyalty Rewards,AR Product Previews,One-Click Checkout",6,Night,Yes
35-44,Male,$1000-$2999,Bachelor’s,Employed,10+ times,$20-$49,"Health & Beauty,Home & Kitchen",Mobile,Reviews,Likely,Yes,Very Likely,None,Sometimes,No,Slow Delivery,Rarely,Neutral,Very Likely,Other,"Better Loyalty Rewards,Flexible Returns,Live Chat Support",5,Afternoon,No
25-34,Female,$3000-$4999,Bachelor’s,Self-employed,3-5 times,$50-$99,"Fashion,Electronics",Desktop/Laptop,Discounts,Very Unlikely,No,Likely,<$5,Yes,Yes,Slow Delivery,Rarely,Somewhat Sensitive,Very Likely,Product Quality,"Live Chat Support,Better Loyalty Rewards,AR Product Previews",9,Night,Yes
25-34,Female,$3000-$4999,Bachelor’s,Unemployed,6-10 times,$50-$99,Other,Desktop/Laptop,Price,Likely,Yes,Neutral,$5-9,Yes,Maybe,Other,Sometimes,Somewhat Sensitive,Likely,Other,"Flexible Returns,Other",4,Evening,No
18-24,Male,$5000-$9999,Bachelor’s,Self-employed,6-10 times,$20-$49,"Groceries,Home & Kitchen",Mobile,Brand,Very Likely,Yes,Very Likely,<$5,Yes,No,Changed Mind,Sometimes,Not Very Sensitive,Very Unlikely,Delivery Delays,"One-Click Checkout,Live Chat Support,Better Loyalty Rewards",6,Evening,No
55+,Female,"$10,000+",High School,Employed,3-5 times,$100-$199,"Health & Beauty,Home & Kitchen",Mobile,Price,Likely,Maybe,Likely,None,No,No,Security Concerns,Rarely,Somewhat Sensitive,Neutral,"Delivery Delays,Payment Issues",One-Click Checkout,6,Night,Maybe
25-34,Male,<$1000,Bachelor’s,Employed,3-5 times,$50-$99,"Health & Beauty,Books",Desktop/Laptop,Price,Very Unlikely,Maybe,Very Likely,$5-9,Sometimes,No,Complicated Checkout,Sometimes,Somewhat Sensitive,Likely,Payment Issues,"Other,Flexible Returns,Better Loyalty Rewards",8,Evening,Maybe
25-34,Male,$5000-$9999,High School,Retired,3-5 times,$100-$199,"Books,Fashion",Desktop/Laptop,Price,Unlikely,Maybe,Very Unlikely,$20+,Sometimes,Yes,High Shipping Costs,Rarely,Somewhat Sensitive,Likely,Other,One-Click Checkout,7,Afternoon,Yes
18-24,Male,$5000-$9999,Bachelor’s,Employed,3-5 times,$50-$99,"Health & Beauty,Groceries",Mobile,Price,Very Likely,Yes,Neutral,<$5,Sometimes,No,Changed Mind,Always,Very Sensitive,Likely,Delivery Delays,"Live Chat Support,AR Product Previews,Better Loyalty Rewards",5,Evening,No
18-24,Female,$3000-$4999,Master’s,Employed,1-2 times,$100-$199,Fashion,Mobile,Price,Likely,Yes,Very Likely,None,Yes,Yes,Slow Delivery,Sometimes,Very Sensitive,Likely,"Lack of Variety,Poor Customer Service,Delivery Delays","Other,Flexible Returns,One-Click Checkout",4,Evening,Maybe
18-24,Female,$1000-$2999,Bachelor’s,Employed,3-5 times,$50-$99,"Home & Kitchen,Books,Electronics",Mobile,Reviews,Neutral,Yes,Likely,$5-9,No,Yes,Slow Delivery,Sometimes,Very Sensitive,Neutral,Delivery Delays,"Live Chat Support,One-Click Checkout",5,Evening,Maybe
45-54,Male,"$10,000+",Bachelor’s,Student,10+ times,$100-$199,"Home & Kitchen,Groceries,Electronics",Mobile,Product Range,Very Unlikely,No,Very Unlikely,<$5,No,No,High Shipping Costs,Sometimes,Somewhat Sensitive,Very Unlikely,Payment Issues,Live Chat Support,7,Evening,Maybe
18-24,Female,<$1000,High School,Employed,3-5 times,$100-$199,"Home & Kitchen,Fashion",Mobile,Reviews,Likely,No,Very Likely,<$5,Sometimes,Yes,Changed Mind,Never,Very Sensitive,Likely,"Product Quality,Payment Issues,Poor Customer Service","Better Loyalty Rewards,Live Chat Support",10,Evening,Yes
45-54,Female,$1000-$2999,Master’s,Unemployed,6-10 times,$50-$99,Health & Beauty,Desktop/Laptop,Price,Unlikely,Yes,Neutral,$5-9,Yes,Yes,Complicated Checkout,Sometimes,Very Sensitive,Likely,Poor Customer Service,"Flexible Returns,Live Chat Support",10,Morning,Yes
25-34,Female,$1000-$2999,Master’s,Employed,10+ times,$50-$99,"Fashion,Books,Electronics",Desktop/Laptop,Delivery Speed,Neutral,Maybe,Very Likely,$5-9,Yes,Maybe,Changed Mind,Sometimes,Not Very Sensitive,Unlikely,Poor Customer Service,"Live Chat Support,AR Product Previews,One-Click Checkout",6,Evening,Yes
18-24,Male,$5000-$9999,Master’s,Student,3-5 times,$20-$49,Health & Beauty,Mobile,Price,Likely,Maybe,Very Likely,$10-19,Yes,No,Changed Mind,Rarely,Very Sensitive,Very Likely,Delivery Delays,"Live Chat Support,AR Product Previews",4,Evening,Yes
45-54,Female,$5000-$9999,Bachelor’s,Employed,Never,$20-$49,"Health & Beauty,Fashion,Books",Desktop/Laptop,Brand,Unlikely,Yes,Unlikely,$10-19,Yes,No,Security Concerns,Sometimes,Very Sensitive,Very Likely,Product Quality,Flexible Returns,10,Evening,No
18-24,Female,$3000-$4999,High School,Employed,6-10 times,$50-$99,"Home & Kitchen,Groceries,Health & Beauty",Mobile,Price,Unlikely,Yes,Likely,$5-9,Sometimes,Yes,Other,Rarely,Somewhat Sensitive,Unlikely,Product Quality,"One-Click Checkout,Live Chat Support,Flexible Returns",10,Afternoon,No
45-54,Male,$3000-$4999,Bachelor’s,Employed,6-10 times,<$20,Health & Beauty,Mobile,Price,Very Likely,No,Likely,$10-19,Sometimes,No,Security Concerns,Rarely,Very Sensitive,Unlikely,Payment Issues,"Live Chat Support,One-Click Checkout",7,Evening,No
55+,Female,$3000-$4999,Master’s,Employed,1-2 times,$20-$49,Books,Mobile,Reviews,Unlikely,Yes,Neutral,None,Sometimes,Yes,Slow Delivery,Sometimes,Not Very Sensitive,Likely,"Other,Poor Customer Service","Flexible Returns,One-Click Checkout,AR Product Previews",6,Evening,No
18-24,Male,$1000-$2999,Bachelor’s,Retired,Never,$50-$99,"Electronics,Books,Home & Kitchen",Other,Price,Very Unlikely,Yes,Neutral,<$5,Sometimes,Yes,Other,Sometimes,Neutral,Neutral,"Other,Delivery Delays","Flexible Returns,Better Loyalty Rewards,AR Product Previews",8,Morning,No
18-24,Male,$1000-$2999,Doctorate,Employed,10+ times,<$20,"Groceries,Books",Desktop/Laptop,Reviews,Likely,Yes,Likely,<$5,Sometimes,Maybe,Changed Mind,Never,Somewhat Sensitive,Very Likely,Lack of Variety,"Flexible Returns,AR Product Previews",3,Afternoon,Yes
25-34,Female,$1000-$2999,Bachelor’s,Employed,1-2 times,$20-$49,Health & Beauty,Mobile,Price,Likely,Yes,Very Likely,$10-19,No,Yes,Slow Delivery,Often,Somewhat Sensitive,Very Likely,"Other,Poor Customer Service","Live Chat Support,AR Product Previews,Better Loyalty Rewards",2,Night,Yes
45-54,Male,$5000-$9999,Master’s,Student,6-10 times,$50-$99,Electronics,Mobile,Reviews,Very Unlikely,Maybe,Neutral,$10-19,No,Maybe,Slow Delivery,Often,Not Very Sensitive,Unlikely,"Product Quality,Poor Customer Service","Other,One-Click Checkout,Flexible Returns",6,Night,Yes
35-44,Male,"$10,000+",High School,Employed,6-10 times,$100-$199,"Groceries,Health & Beauty",Mobile,Delivery Speed,Likely,No,Very Likely,$5-9,Sometimes,Yes,Other,Often,Not Very Sensitive,Neutral,Poor Customer Service,Live Chat Support,1,Morning,No
25-34,Female,$1000-$2999,Bachelor’s,Student,1-2 times,$100-$199,"Groceries,Books,Electronics",Tablet,Price,Unlikely,No,Very Unlikely,$5-9,Sometimes,Yes,Changed Mind,Sometimes,Very Sensitive,Unlikely,"Lack of Variety,Product Quality,Payment Issues","Better Loyalty Rewards,Flexible Returns,AR Product Previews",5,Evening,Maybe
18-24,Female,$5000-$9999,Master’s,Self-employed,3-5 times,$50-$99,Fashion,Desktop/Laptop,Discounts,Very Likely,Maybe,Unlikely,$10-19,Yes,No,Slow Delivery,Sometimes,Not Very Sensitive,Neutral,"Delivery Delays,Product Quality,Poor Customer Service",Flexible Returns,5,Night,No
35-44,Male,$3000-$4999,High School,Retired,3-5 times,$20-$49,"Books,Fashion",Desktop/Laptop,Price,Likely,Yes,Very Likely,$5-9,Yes,Maybe,Complicated Checkout,Rarely,Very Sensitive,Very Likely,Product Quality,"Other,Flexible Returns,AR Product Previews",7,Morning,Yes
45-54,Female,$5000-$9999,Bachelor’s,Employed,6-10 times,$100-$199,"Health & Beauty,Electronics",Mobile,Price,Very Likely,Maybe,Very Unlikely,<$5,Yes,No,Security Concerns,Sometimes,Very Sensitive,Very Likely,Poor Customer Service,"AR Product Previews,Flexible Returns,Better Loyalty Rewards",10,Evening,No
